GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
432,27MLI,49126,16/08/1999,1999,1,Violence against civilians,Civilians (Mali),,7,Kounta Ethnic Militia (Mali),,4,47,Mali,Timbuktu,Gourma-Rharous,Inadiatafane,Gourma,15.75000,-2.00000,1,BBC Monitoring,"In retaliation over Kounta people killed at a wedding by Arabs the previous day, members of the family of those killed went to Gourma and killed seven Arabs.",7
432,28MLI,49127,16/10/1999,1999,1,Battle-No change of territory,Kounta Ethnic Militia (Mali),,4,Arab Ethnic Militia (Mali),,4,44,Mali,Gao,Gao,Gao-Central,Gao,16.27167,-0.04472,1,EFE News Service,Clashes broke out between the Kounta ethnic group and Arab group over a land dispute and political dispute. Forty people died in the fighting. It is unknown how many people died on either side of the fighting.,40
432,29MLI,49128,17/10/1999,1999,1,Battle-No change of territory,Kounta Ethnic Militia (Mali),,4,Arab Ethnic Militia (Mali),,4,44,Mali,Gao,Gao,Gao-Central,Gao,16.27167,-0.04472,1,EFE News Service,Clashes broke out between the Kounta ethnic group and Arab group over a land dispute and political dispute. Forty people died in the fighting. It is unknown how many people died on either side of the fighting.,0
432,30MLI,49129,05/01/2000,2000,1,Violence against civilians,Civilians (Mali),,7,Unidentified Armed Group (Mali),,3,37,Mali,Gao,Ansongo,Ansongo,Ansongo,15.66000,0.50000,1,Agence France Presse,Three soldiers riding in an ambulance were attacked by eight armed bandits in northern Mali. Banditry is a common occurence in northern Mali.,3
432,31MLI,49130,01/03/2000,2000,1,Violence against civilians,Civilians (Mali),,7,Police Forces of Mali (1992-2002),,1,17,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,1,US State Department,"After three tourists were killed in northern Mali in February, police arrested 9 people. There were reports of torture by the police on the detained. Two of the detained were killed by police.",2
432,32MLI,49131,01/03/2000,2000,1,Violence against civilians,Civilians (Mali),,7,Unidentified Armed Group (Mali),,3,37,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,1,Reuters,Three Dutch tourists were killed by bandits in the north of Mali.,3
432,33MLI,49132,14/08/2000,2000,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,BBC Monitoring,Public transport workers went on strike for three days to protest against harrassment by police.,0
432,34MLI,49133,15/08/2000,2000,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,BBC Monitoring,Public transport workers went on strike for three days to protest against harrassment by police.,0
432,35MLI,49134,16/08/2000,2000,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,BBC Monitoring,Public transport workers went on strike for three days to protest against harrassment by police.,0
432,36MLI,49135,18/12/2000,2000,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Agence France Presse,Teachers peacefully protested for a payroll increase.,0
432,37MLI,49136,16/01/2001,2001,1,Violence against civilians,Civilians (Mali),,7,Tuareg Ethnic Militia (Mali),,4,47,Mali,Kidal,Tin-Essako,Tinessako,Tin Essako,18.45000,2.49000,1,Agence France Presse,"Tuareg rebels led by Ibrahim Bahanga, a former Tuareg rebel from the early 1990s and Malian army deserter, took ten soldiers hostage in retaliation for Malian security forces becoming present in the North. Three soldiers who tried to resist the hostage t",3
432,38MLI,49137,23/04/2001,2001,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Agence France Presse,Cotton mill workers went on strike over the governments plan to privatise the industry.,0
432,39MLI,49138,24/04/2001,2001,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Agence France Presse,Cotton mill workers went on strike over the governments plan to privatise the industry.,0
432,40MLI,49139,06/06/2001,2001,1,Battle-No change of territory,Sero Diamanou Ethnic Militia (Mali),,4,Diandioumbera Communal Militia (Mali),,4,44,Mali,Kayes,Nioro,Gogui,Diandioume,15.40000,-9.38000,1,Agence France Presse,Ethnic clashes broke out between the people of Sero Diamanou and Diandioumbera. The main motive behind the fighting was a land dispute. Five people were killed and over 30 injured. It is unknown which side of the violence the casualities were on.,5
432,41MLI,49140,15/06/2001,2001,1,Riots/Protests,Rioters (Mali),,5,Police Forces of Mali (1992-2002),,1,15,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,US State Department,"After a poice chase of a truck driver resulted in the drivers death, truck drivers rioted by attacking police officers, destroying police stations and destroying traffic lights. (After the riots, the truck drivers agreed to pay for the damage done to tra",0
432,42MLI,49141,27/10/2001,2001,1,Violence against civilians,Civilians (Mali),,7,Unidentified Armed Group (Mali),,3,37,Mali,Mopti,Douentza,Douentza,Douentza,15.00000,-2.95000,1,Associated Press,Armed bandits attacked a tour group headed to Timbuktu and a delegation of health ministers headed south to Bamako. Two people were killed and two injured.,2
432,43MLI,49142,30/12/2001,2001,1,Battle-No change of territory,Berdossou Communal Militia (Mali),,4,Sao Ethnic Militia (Mali),,4,44,Mali,Sikasso,Koutiala,Molobala,Sao,11.95000,-5.42000,1,Agence France Presse,Two villages clashed over the location of election offices. People from Sao want the mayor of Berdossou to be reinstalled because the mayor is from Sao and for the office to be relocated to Sao. People from Berdossou want the office location to remain in,8
432,44MLI,49143,26/02/2002,2002,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Pan Africa News,Protesters in Bamako protested the increase of water and power tariffs by the government.,0
432,45MLI,49144,16/08/2002,2002,1,Violence against civilians,Civilians (Mali),,7,Dogon Ethnic Militia (Mali),,4,47,Mali,Mopti,Tenenkou,Diafarabe,Nouhoun-Peuhl,14.17000,-4.91000,1,Associated Press Newswires,"After Dogon farmers found the body of another Dogon farmer in a field, it was assumed he was killed by Peuhl herders. In retaliation, Dogon farmers went to Peuhl and killed the chief, his wife, his son and his two brothers-in-law. Seven other people were",5
432,46MLI,49145,21/07/2003,2003,1,Battle-No change of territory,Military Forces of Mali (2002-2012),,1,GSPC: Salafist Group for Call and Combat,,2,12,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,3,El Watan,Violent skirmish between a militant group and the Malian army: Salafi Group for Call and Combat at Mali-Algerian border,0
432,47MLI,49146,25/08/2003,2003,1,Battle-No change of territory,Sunni Islamist Militia (Mali),,3,Shiite Islamist Militia (Mali),,3,33,Mali,Kayes,Nioro,Nioro,Yerere,15.26000,-9.43000,1,All Africa,"Fighting broke out in Yerere, a mainly Sunni village, between Sunni Muslims and Shiite Muslims. During the construction of the first Sunni mosque in Yerere, fighting erupted which resulted in thirteen people dead and twenty people injured.",13
432,48MLI,49147,25/08/2003,2003,1,Violence against civilians,Shiite Islamist Militia (Mali),,3,Civilians (Mali),,7,37,Mali,Kayes,Nioro,Nioro,Yerere,15.25710,-9.42950,1,IRIN Africa,"Ostensibly a religious dispute over the building of a mosque, but more likely a dispute over land ownership rights.",13
432,49MLI,49148,07/10/2003,2003,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,All Africa,Workers went on strikein Bamako to demand better working conditions- which were promised as part of the Presidents 2002 campaign.,0
432,50MLI,49149,08/10/2003,2003,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,All Africa,Workers went on strikein Bamako to demand better working conditions- which were promised as part of the Presidents 2002 campaign.,0
432,51MLI,49150,03/02/2004,2004,1,Violence against civilians,Civilians (Mali),,7,Tuareg Ethnic Militia (Mali),,4,47,Mali,Gao,Gao,Gao-Central,Gao,16.27167,-0.04472,1,IRIN Africa,Unidentified armed assailants attacked a Malian Red Cross convoy in the northeastern region of Bourem.,0
432,52MLI,49151,07/04/2004,2004,1,Battle-Non-state actor overtakes territory,GSPC: Salafist Group for Call and Combat,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Tessalit,Tessalit,Tessalit,20.25812,0.99050,1,BBC Monitoring,"Took place in Tessalit, 200 miles from Algerian border",0
432,53MLI,49152,12/04/2004,2004,1,Battle-Government regains territory,Military Forces of Mali (2002-2012),,1,GSPC: Salafist Group for Call and Combat,,2,12,Mali,Kidal,Tessalit,Tessalit,Tessalit,20.25812,0.99050,1,Reuters,"The GSPC were allegedly ""chased out of the country"" by the military during this clash.",0
432,54MLI,49153,04/12/2004,2004,1,Strategic development,FNCI: New Forces of Ivory Coast,,2,,,0,20,Mali,Sikasso,Sikasso,Lobougoula,Sikasso,11.09920,-5.94540,1,Agence France Presse,FN rebels arrested in Mali,0
432,55MLI,49154,24/03/2005,2005,1,Riots/Protests,Police Forces of Mali (2002-2012),,1,Protesters (Mali),,6,16,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Agence France Presse,,0
432,56MLI,49155,26/06/2005,2005,1,Battle-No change of territory,GSPC: Salafist Group for Call and Combat,,2,Military Forces of Algeria (1999-),,8,28,Mali,Kidal,Tessalit,Tessalit,Tessalit,20.25812,0.99050,1,Reuters,,15
432,57MLI,49156,19/05/2006,2006,1,Battle-Non-state actor overtakes territory,MPLA: Popular Movement for the Liberation of Azawad,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,3,Agence France Presse,,0
432,58MLI,49158,20/05/2006,2006,1,Non-violent transfer of territory,ADC: Democratic Alliance of 23rd May for Change,,3,Military Forces of Mali (2002-2012),,1,13,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,3,Agence France Presse,"Tuareg Rebels withdrew from captured army bases without a fight, but seized all weapons.",0
432,59MLI,49157,20/05/2006,2006,1,Non-violent transfer of territory,ADC: Democratic Alliance of 23rd May for Change,,3,Military Forces of Mali (2002-2012),,1,13,Mali,Gao,Menaka,Menaka,Menaka,15.91820,2.40220,1,BBC,Rebels abandoned the bases they had briefly seized.,0
432,60MLI,49159,21/05/2006,2006,1,Battle-No change of territory,Military Forces of Mali (2002-2012),,1,ADC: Democratic Alliance of 23rd May for Change,,3,13,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,1,Africa News,rebel assault on an army camp,0
432,61MLI,49161,21/05/2006,2006,1,Battle-No change of territory,Military Forces of Mali (2002-2012),,1,ADC: Democratic Alliance of 23rd May for Change,,3,13,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,1,Africa News,rebel assault on another army camp,0
432,62MLI,49160,21/05/2006,2006,1,Battle-No change of territory,Military Forces of Mali (2002-2012),,1,ADC: Democratic Alliance of 23rd May for Change,,3,13,Mali,Gao,Menaka,Menaka,Menaka,15.91820,2.40220,1,Africa News,rebel assault on an army camp,0
432,63MLI,49162,19/06/2006,2006,1,Battle-Non-state actor overtakes territory,MPLA: Popular Movement for the Liberation of Azawad,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Gao,Menaka,Menaka,Menaka,15.91820,2.40220,1,Agence France Presse,Three civilian casualties were also noted in the articles.,3
432,64MLI,49163,26/06/2006,2006,1,Strategic development,Military Forces of Mali (2002-2012),,1,ADC: Democratic Alliance of 23rd May for Change,,3,13,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,2,Agence France Presse,"Rebel group that assaulted army camps around Kidal on May 23, 2006 signed peace accord with the government in Algiers, Algeria.",0
432,65MLI,49164,28/09/2006,2006,2,Battle-No change of territory,ADC: Democratic Alliance of 23rd May for Change,,3,GSPC: Salafist Group for Call and Combat,,2,23,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,2,Agence France Presse,"No.2 of AQIM, called ""Abdel Hamid"" and ""Abohola"", was killed during a skirmish between GSPC and Tuareg rebels at the end of Sep 2006. Exact location of the fight is unknown.",1
432,66MLI,49165,20/10/2006,2006,1,Battle-No change of territory,GSPC: Salafist Group for Call and Combat,,2,ADC: Democratic Alliance of 23rd May for Change,,3,23,Mali,Timbuktu,Tombouctou,Tombouctou,Timbuktu,16.76670,-3.01670,1,Reuters,"Tuaregs were ambushed by the GSPC as revenge for the killing in September. Took place in Arawane, north of Timbuktu.",0
432,67MLI,49166,18/02/2007,2007,1,Strategic development,Military Forces of Mali (2002-2012),,1,ADC: Democratic Alliance of 23rd May for Change,,3,13,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,3,Radio France Internationale,"Tuareg chief Iyad Ag Ghali of a Tuareg rebel group signed an agreement to disarm the group with Mali's Territorial Administration Minister Ka-fougouna Kone in Algeria, under mediation of Algerian government. The group also agreed to form special police u",0
432,68MLI,49167,07/05/2007,2007,1,Battle-No change of territory,ADC: Democratic Alliance of 23rd May for Change,,3,Military Forces of Mali (2002-2012),,1,13,Mali,Kidal,Abeibara,Tinzawatene,Tin Zaouaten,19.96250,2.85750,1,Jeune Afrique,,10
432,69MLI,49168,23/08/2007,2007,1,Battle-No change of territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Timbuktu,Gourma-Rharous,Ouinerden,Tedjerete,16.38194,-1.26972,1,Agence France Presse,"Soldiers kidnapped from town of Tedjerete, where they had been protecting agriculturalists working against the locust infestation.",0
432,70MLI,49169,24/08/2007,2007,1,Battle-No change of territory,ADC: Democratic Alliance of 23rd May for Change,,3,Military Forces of Mali (2002-2012),,1,13,Mali,Kidal,Abeibara,Tinzawatene,Tin Zaouaten,19.96250,2.85750,1,Reuters,23 Malian soldiers taken hostage after military convoys were ambushed.,0
432,71MLI,49170,27/08/2007,2007,1,Remote violence,ATNMC: North Mali Tuareg Alliance for Change,,2,Civilians (Mali),,7,27,Mali,Kidal,Abeibara,Tinzawatene,Tin Zaouaten,19.96250,2.85750,1,Associated Press,A land mine set up by Tuareg rebels exploded and killed ten individuals on the road to Tin Zaouatene.,0
432,72MLI,49171,09/09/2007,2007,1,Battle-No change of territory,Military Forces of United States,,8,ATNMC: North Mali Tuareg Alliance for Change,,2,28,Mali,Kidal,Kidal,Kidal,Agelok,18.44000,1.41000,1,Reuters,Tuareg rebels fired on an American military plane bringing supplies to the Malian government.,0
432,73MLI,49172,10/09/2007,2007,1,Battle-No change of territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Abeibara,Tinzawatene,Tin Zaouaten,19.96250,2.85750,1,BBC Monitoring,,0
432,74MLI,49173,12/09/2007,2007,1,Battle-No change of territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Abeibara,Tinzawatene,Tin Zaouaten,19.96250,2.85750,1,Agence France Presse,,8
432,75MLI,49174,23/09/2007,2007,1,Battle-Government regains territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Abeibara,Tinzawatene,Tin Zaouaten,19.96250,2.85750,1,Reuters,,0
432,77MLI,49175,31/12/2007,2007,3,Headquarters or base established,AQIM: Al Qaeda in the Islamic Maghreb,,2,,,0,20,Mali,Timbuktu,Tombouctou,Tombouctou,Timbuktu,16.76670,-3.01670,3,Agence France Presse,AQIM set up training camp(s) in Timbuktu. The date of set-up was not reported.,0
432,76MLI,49176,31/12/2007,2007,3,Strategic development,AQIM: Al Qaeda in the Islamic Maghreb,,2,,,0,20,Mali,Gao,Gao,Gao-Central,Gao,16.27167,-0.04472,3,Agence France Presse,AQIM set up training camp(s) in Gao. The date of set-up was not reported.,0
432,78MLI,49177,17/03/2008,2008,1,Battle-No change of territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Abeibara,Tinzawatene,Tin Zaouaten,19.96250,2.85750,1,BBC Monitoring,,3
432,79MLI,49178,18/03/2008,2008,1,Violence against civilians,ATNMC: North Mali Tuareg Alliance for Change,,2,Civilians (Mali),,7,27,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,1,L'Expression,,5
432,80MLI,49179,22/03/2008,2008,1,Battle-No change of territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Kidal,Kidal,Agelok,18.44000,1.41000,1,BBC Monitoring,"Took place in military camp and village of Agelok, north of Kidal",0
432,81MLI,49180,29/03/2008,2008,1,Battle-Government regains territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,3,Reuters,Malian helicopters attacked Tuareg rebels in the Kidal region as a preventative measure.,0
432,82MLI,49181,09/04/2008,2008,1,Violence against civilians,ATNMC: North Mali Tuareg Alliance for Change,,2,Civilians (Mali),,7,27,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,1,BBC Monitoring,Both victims were found shot multiple times.,2
432,83MLI,49182,29/04/2008,2008,1,Battle-No change of territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,3,,Convoy encountered armed group and was attacked. Continued to its destination.,5
432,84MLI,49183,02/05/2008,2008,1,Battle-Non-state actor overtakes territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Kidal,Kidal,Kidal,Agelok,18.44000,1.41000,1,Reuters,Occurred at Aguelhoc military base.,0
432,85MLI,49184,02/05/2008,2008,1,Battle-Non-state actor overtakes territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Segou,Niono,Sokolo,Diabaly,14.68000,-6.01600,1,Reuters,Occurred in Diabaly.,1
432,86MLI,49185,04/05/2008,2008,1,Battle-Non-state actor overtakes territory,ATNMC: North Mali Tuareg Alliance for Change,,2,Military Forces of Mali (2002-2012),,1,12,Mali,Segou,Niono,Pogo,Segou,13.43117,-6.24920,3,BBC Monitoring,Took place in Djiabally.,2
